number of rules: 966
program size: 7547
(r1) p8(A,B) :- not_empty(A), mk_uppercase(A,B).
(r2) p16(A,B) :- skip1(A,C), copy1(C,B).
(r3) p19(A,B) :- not_empty(A), mk_lowercase(A,B).
(r4) p31(A,B) :- not_empty(A), skip1(A,B).
(r5) p33(A,B) :- not_empty(A), copy1(A,B).
(r6) p38(A,B) :- copy1(A,C), copy1(C,B).
(r7) p44(A,B) :- copy1(A,C), mk_lowercase(C,B).
(r8) p58(A,B) :- copy1(A,C), mk_uppercase(C,B).
(r9) p82(A,B) :- mk_uppercase(A,C), copy1(C,B).
(r10) p86(A,B) :- skip1(A,C), mk_uppercase(C,B).
(r11) p143(A,B) :- mk_lowercase(A,C), copy1(C,B).
(r12) p200(A,B) :- skip1(A,C), mk_lowercase(C,B).
(r13) p281(A,B) :- mk_uppercase(A,C), mk_uppercase(C,B).
(r14) p308(A,B) :- mk_lowercase(A,C), mk_lowercase(C,B).
(r15) p794(A,B) :- mk_uppercase(A,C), mk_lowercase(C,B).
(r16) p967(A,B) :- mk_lowercase(A,C), mk_uppercase(C,B).
(r17) p1(A,B) :- mk_uppercase(A,C0_0), copy1(C0_0,C), skip1(C,C1_0), skip1(C1_0,C3_0), mk_lowercase(C3_0,B).
(r18) p3(A,B) :- skip1(A,C), copy1(C,C1_0-1), copy1(C1_0-1,C1_0), skip1(C1_0,C2_0), copy1(C2_0,B).
(r19) p12(A,B) :- skip1(A,C0_0), copy1(C0_0,C), skip1(C,C1_0), mk_lowercase(C1_0,C3_0), copy1(C3_0,B).
(r20) p40(A,B) :- copy1(A,C), skip1(C,C1_0-1), copy1(C1_0-1,C1_0), mk_uppercase(C1_0,C2_0), copy1(C2_0,B).
(r21) p41(A,B) :- skip1(A,C), skip1(C,C1_0-1), mk_uppercase(C1_0-1,C1_0), skip1(C1_0,C2_0), mk_lowercase(C2_0,B).
(r22) p57(A,B) :- copy1(A,C), skip1(C,C1_0-1), mk_uppercase(C1_0-1,C1_0), skip1(C1_0,C2_0), mk_lowercase(C2_0,B).
(r23) p65(A,B) :- copy1(A,C), skip1(C,C1_0-1), copy1(C1_0-1,C1_0), copy1(C1_0,C2_0), copy1(C2_0,B).
(r24) p83(A,B) :- mk_uppercase(A,C0_0), copy1(C0_0,C), skip1(C,C1_0), skip1(C1_0,C3_0), mk_uppercase(C3_0,B).
(r25) p94(A,B) :- copy1(A,C0_0), copy1(C0_0,C), skip1(C,C1_0), skip1(C1_0,C3_0), copy1(C3_0,B).
(r26) p101(A,B) :- skip1(A,C), copy1(C,C1_0-1), mk_lowercase(C1_0-1,C1_0), copy1(C1_0,C2_0), copy1(C2_0,B).
(r27) p132(A,B) :- copy1(A,C), mk_lowercase(C,C1_0-1), copy1(C1_0-1,C1_0), mk_lowercase(C1_0,C2_0), copy1(C2_0,B).
